Page, Difficulty, Question                                                                      , Actual_Answer(Y_A)                                                                                                                             , Predicted_Answer(Y_P), Input_Tokens  ,              ,                ,                     ,            ,             ,               ,                  , Output_Tokens   ,                ,                  ,                       ,              ,               ,                 ,                    , Total_Input_Token, Total_Output_Token, Total_Time, Evaluation
    ,           ,                                                                               ,                                                                                                                                                ,                      , domain_summary, query_rewrite, relevance_check, query_classification, choose_root, choose_child, extract_answer, synthesize_answer, domain_summary_o, query_rewrite_o, relevance_check_o, query_classification_o, choose_root_o, choose_child_o, extract_answer_o, synthesize_answer_o,                  ,                   ,           , 
   2, Simple    , "What is the copay for a diagnostic test (x-ray, blood work)?"                , $10                                                                                                                                            ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   2, Simple    , What is the copay for imaging tests like MRI?                                 , $50                                                                                                                                            ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   2, Mid       , What is the coinsurance for non-preferred brand drugs (Tier 3) in-network?    , 40%                                                                                                                                            ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   2, Mid       , What is the coinsurance for specialty drugs (Tier 4) out-of-network?          , 70%                                                                                                                                            ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   2, Complex   , Compare emergency room care costs in-network vs out-of-network.               , Both require 20% coinsurance; costs are the same.                                                                                              ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   3, Simple    , What is the coinsurance for inpatient hospital facility fees in-network?      , 20%                                                                                                                                            ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   3, Simple    , What is the copay for outpatient mental health visits?                        , $35                                                                                                                                            ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   3, Simple    , How many home health care visits are covered per year?                        , 60 visits/year                                                                                                                                 ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   3, Mid       , What is the coverage for children’s eye exams?                                , "$35 copay/visit, limited to one exam/year"                                                                                                    ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   3, Mid       , What is the coverage for children’s glasses?                                  , "20% coinsurance, limited to one pair/year"                                                                                                    ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   3, Complex   , Explain the limitations for habilitation services.                            , Includes speech therapy and occupational therapy; limited to 60 visits/year.                                                                   ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
   4, Simple    , Does the plan cover cosmetic surgery?                                         , No                                                                                                                                             ,                      ,               ,              ,                ,                     ,            ,             ,               ,                  ,                 ,                ,                  ,                       ,              ,               ,                 ,                    ,                  ,                   ,           , 
